pH,Turbidity,Chlorine,Dissolved Oxygen,Temperature,Potability
8.94,4.07,0.66,7.75,50,TRUE
7.04,3.23,0.58,7.87,0,TRUE
7.67,1.33,0.81,7.58,25,TRUE
7.21,2.43,0.62,7.04,50,TRUE
7.93,1.37,0.52,6.79,50,TRUE
7.39,1.27,0.62,7.53,50,TRUE
6.65,3.28,0.61,7.24,0,FALSE
7.42,2.61,0.51,7.76,50,TRUE
6.78,1.03,0.63,7.23,25,TRUE
8.71,3.3,0.73,7.97,50,TRUE
7.38,2.71,0.52,6.61,25,TRUE
8.79,4.97,0.52,7.45,50,TRUE
8.31,1.2,0.66,7.02,50,TRUE
7.36,1.88,0.81,7.37,0,TRUE
7.66,2.05,0.55,7.55,25,TRUE
7.11,4.39,0.56,6.95,50,TRUE
6.8,3.53,0.97,7.57,0,TRUE
6.67,4.26,0.84,7.46,25,TRUE
7.05,1.87,0.68,6.64,50,TRUE
6.53,4.81,5.58,8.0,50,FALSE
6.94,3.0,0.82,6.91,0,TRUE
6.56,2.88,0.96,8.0,25,TRUE
7.72,2.73,0.83,7.66,25,TRUE
7.6,3.48,0.52,6.88,50,TRUE
7.97,3.75,0.58,7.76,25,TRUE
7.65,3.9,0.76,7.98,25,TRUE
7.36,2.16,0.51,6.53,25,TRUE
7.17,3.98,0.91,7.66,50,TRUE
7.5,3.21,0.54,7.79,25,TRUE
6.86,3.97,0.61,7.18,0,TRUE
6.48,4.08,0.7,7.95,25,TRUE
7.35,2.26,0.98,6.88,25,TRUE
6.69,3.4,5.85,7.94,50,FALSE
6.92,3.42,0.75,6.55,0,TRUE
7.55,2.63,0.64,7.39,25,TRUE
7.45,2.81,0.55,7.51,25,TRUE
7.76,3.92,0.55,7.54,0,TRUE
6.93,3.24,0.61,6.63,0,TRUE
6.19,2.74,0.7,7.5,25,TRUE
7.25,4.34,0.75,6.94,0,TRUE
7.39,4.52,0.75,6.84,50,TRUE
6.97,1.31,0.73,7.8,50,TRUE
6.61,1.45,1.0,7.71,25,TRUE
7.2,4.29,0.89,7.25,0,TRUE
7.38,1.55,0.97,6.94,0,TRUE
7.9,2.68,0.52,7.29,25,FALSE
6.93,1.92,0.67,7.1,25,TRUE
7.91,3.09,0.64,7.18,25,TRUE
7.13,4.41,0.67,7.39,50,TRUE
7.37,1.21,0.76,6.56,25,TRUE
8.0,4.7,0.67,6.83,50,TRUE
6.65,4.36,0.82,7.02,0,TRUE
7.25,2.29,0.51,7.8,25,TRUE
7.24,3.64,0.9,7.11,50,TRUE
7.71,1.64,0.86,7.85,25,TRUE
8.2,4.58,0.96,6.97,50,TRUE
8.03,2.45,0.89,7.61,50,TRUE
7.73,2.97,0.71,7.26,50,TRUE
10.04,2.28,0.88,6.87,50,FALSE
7.29,1.11,0.67,6.71,25,TRUE
8.84,1.77,0.52,6.86,50,TRUE
7.52,1.41,0.55,7.36,0,TRUE
7.33,1.85,0.91,7.5,25,TRUE
6.55,3.67,0.94,7.81,0,TRUE
8.05,2.6,0.87,7.41,0,TRUE
8.33,4.41,0.55,7.51,0,TRUE
8.41,1.29,0.69,7.37,0,TRUE
7.13,2.8,0.64,7.57,0,TRUE
8.11,2.26,0.79,7.04,0,TRUE
8.92,1.99,0.71,7.75,50,TRUE
7.62,1.83,0.73,7.84,50,TRUE
7.81,8.76,0.62,6.99,25,FALSE
8.62,2.39,0.69,7.82,50,TRUE
7.7,4.5,0.76,6.61,25,TRUE
6.67,2.2,0.62,6.63,25,TRUE
7.9,3.56,0.84,7.42,25,TRUE
7.63,3.81,0.85,7.33,25,TRUE
7.86,2.55,0.92,6.56,50,TRUE
6.87,3.93,0.74,7.78,0,TRUE
8.12,4.65,0.97,6.71,0,TRUE
6.51,3.79,0.63,7.84,0,TRUE
6.42,4.6,0.82,6.82,25,TRUE
8.67,3.93,0.54,7.53,50,TRUE
8.18,1.05,0.56,6.66,50,TRUE
6.62,2.3,12.67,6.93,0,FALSE
7.34,3.25,0.81,6.58,25,TRUE
7.12,1.14,0.67,7.29,25,TRUE
8.53,4.17,0.88,7.06,50,TRUE
8.09,3.92,0.97,7.62,0,TRUE
6.88,1.21,0.95,6.75,0,TRUE
7.66,3.43,0.66,7.31,50,TRUE
7.98,3.15,0.77,6.7,0,TRUE
7.62,1.25,0.84,7.19,50,TRUE
6.98,4.37,0.89,7.91,50,TRUE
8.61,3.91,0.55,6.94,50,TRUE
7.67,3.17,0.89,6.64,50,TRUE
6.82,3.55,0.55,7.02,25,TRUE
7.4,4.35,10.14,7.69,25,FALSE
8.07,2.45,0.63,6.58,25,TRUE
8.78,2.83,0.7,7.4,50,TRUE
8.28,2.26,0.63,7.08,50,TRUE
6.93,4.56,0.95,7.41,25,TRUE
7.63,3.84,0.94,7.48,0,TRUE
6.98,4.48,0.71,7.79,25,TRUE
8.39,3.71,0.87,7.99,50,TRUE
6.71,1.82,0.82,6.74,25,TRUE
7.36,3.19,0.74,7.85,0,TRUE
8.26,3.51,0.82,6.52,50,TRUE
8.09,4.15,0.8,7.7,0,TRUE
6.99,3.68,0.68,7.66,0,TRUE
7.56,1.19,0.61,17.07,0,FALSE
8.97,3.64,0.65,7.79,50,TRUE
7.23,3.38,0.81,7.07,50,TRUE
7.44,2.52,0.6,7.52,0,TRUE
7.54,4.11,0.62,7.73,25,TRUE
6.78,3.48,0.64,7.5,25,TRUE
8.73,1.22,0.74,7.28,50,TRUE
6.53,2.02,0.8,7.69,0,TRUE
7.87,4.48,1.0,6.79,0,TRUE
7.79,3.78,0.51,7.78,25,TRUE
7.37,4.89,0.58,7.38,0,TRUE
8.19,1.74,0.56,7.08,50,TRUE
8.44,4.59,0.63,7.17,0,TRUE
7.83,4.82,0.94,6.79,25,FALSE
6.13,1.98,0.51,7.14,25,TRUE
8.17,1.14,0.7,7.53,0,TRUE
7.89,4.42,0.76,7.3,0,TRUE
7.71,2.05,0.82,7.96,50,TRUE
7.88,2.14,0.75,7.52,25,TRUE
6.58,2.45,0.58,7.01,0,TRUE
7.09,3.92,0.64,7.84,25,TRUE
7.08,4.16,0.76,7.77,50,TRUE
6.8,4.6,0.84,6.82,0,TRUE
7.23,2.84,0.99,7.99,0,TRUE
6.67,2.36,0.79,6.53,0,TRUE
7.23,3.46,0.69,7.83,25,TRUE
7.9,2.1,0.7,12.71,0,FALSE
7.48,3.78,0.76,7.91,0,TRUE
6.88,2.41,0.74,6.95,25,TRUE
6.86,4.8,0.65,7.9,25,TRUE
7.37,2.34,0.54,6.56,50,TRUE
8.02,4.84,0.58,7.41,25,TRUE
8.76,4.94,0.59,7.13,50,TRUE
6.72,1.51,0.89,7.13,25,TRUE
6.91,1.39,0.97,6.61,25,TRUE
8.62,4.2,0.85,6.97,50,TRUE
7.36,3.56,0.7,7.76,25,TRUE
7.79,3.38,0.73,6.97,50,TRUE
6.69,3.33,0.97,7.43,25,TRUE
13.9,2.78,0.97,7.35,0,FALSE
7.39,4.8,0.56,6.97,0,TRUE
7.27,1.15,0.99,7.3,0,TRUE
6.57,3.85,0.93,6.79,0,TRUE
6.12,1.52,0.66,6.83,25,TRUE
8.04,3.11,0.65,6.75,0,TRUE
7.96,4.63,0.85,7.71,50,TRUE
6.88,3.29,0.73,7.55,25,TRUE
8.72,3.71,0.64,7.29,50,TRUE
7.88,5.0,0.62,7.23,25,TRUE
7.56,2.5,0.52,6.76,25,TRUE
7.39,3.15,0.75,6.88,0,TRUE
7.42,1.23,0.54,7.28,0,TRUE
6.74,3.16,0.8,6.68,50,FALSE
8.71,3.27,0.87,6.79,50,TRUE
6.86,2.41,0.65,6.64,0,TRUE
6.44,4.91,0.57,8.0,25,TRUE
6.29,1.66,0.84,6.57,25,TRUE
8.75,4.1,0.96,7.4,50,TRUE
7.75,3.15,0.74,6.58,25,TRUE
7.44,3.88,0.52,6.6,0,TRUE
8.05,3.2,0.92,6.82,0,TRUE
7.05,1.35,0.83,7.86,0,TRUE
7.87,4.76,0.81,7.14,25,TRUE
8.19,3.76,0.99,7.0,50,TRUE
8.4,4.65,0.8,7.51,0,TRUE
7.16,2.32,9.07,7.03,25,FALSE
6.46,1.98,0.59,7.98,25,TRUE
7.85,3.97,0.55,7.26,50,TRUE
7.69,4.48,0.59,7.67,50,TRUE
7.63,2.14,0.96,6.8,0,TRUE
7.16,1.32,0.94,7.58,25,TRUE
6.91,1.18,0.67,6.86,0,TRUE
6.98,2.24,0.92,6.88,50,TRUE
7.85,2.98,0.89,7.46,0,TRUE
6.71,2.6,0.96,6.73,0,TRUE
6.61,3.06,0.9,7.41,0,TRUE
8.63,4.22,0.8,6.54,50,TRUE
7.6,2.5,0.69,6.64,25,TRUE
6.94,7.29,0.76,6.91,25,FALSE
7.95,4.18,0.54,7.22,25,TRUE
7.57,2.92,0.88,6.81,25,TRUE
7.96,3.86,0.67,6.7,50,TRUE
7.77,4.12,0.8,6.53,0,TRUE
7.56,2.58,0.8,6.97,0,TRUE
7.64,4.31,0.72,7.49,25,TRUE
8.36,4.15,0.92,7.35,50,TRUE
8.94,4.37,0.91,6.53,50,TRUE
8.76,4.03,0.69,7.43,50,TRUE
8.06,1.25,0.65,6.88,0,TRUE
7.99,1.79,0.9,7.02,50,TRUE
7.63,4.3,0.95,6.66,50,TRUE
7.66,1.65,13.47,7.43,25,FALSE
7.0,2.59,0.89,7.87,0,TRUE
8.39,2.09,1.0,7.52,0,TRUE
8.81,1.73,0.65,7.28,50,TRUE
8.14,3.8,0.55,6.77,50,TRUE
8.36,3.66,0.79,6.97,0,TRUE
7.07,4.02,0.68,7.05,25,TRUE
7.08,4.73,0.63,7.52,50,TRUE
7.73,3.28,0.69,7.6,0,TRUE
6.17,1.91,0.77,6.75,25,TRUE
6.8,2.79,0.83,7.5,0,TRUE
7.23,3.05,0.57,7.82,25,TRUE
6.5,2.03,0.54,6.91,25,TRUE
6.53,3.76,5.84,7.9,0,FALSE
7.35,2.86,0.84,7.18,50,TRUE
7.76,2.11,0.83,7.88,0,TRUE
8.05,1.37,0.86,6.68,50,TRUE
7.64,1.22,0.98,6.58,50,TRUE
8.25,2.27,0.7,7.62,0,TRUE
6.49,2.22,0.98,7.12,25,TRUE
8.74,2.76,0.56,7.56,50,TRUE
6.74,4.26,0.69,7.66,0,TRUE
7.76,3.94,0.67,6.69,25,TRUE
7.5,2.09,0.63,6.75,0,TRUE
7.39,4.44,0.9,6.75,50,TRUE
7.82,2.13,0.89,6.52,50,TRUE
7.81,2.16,16.74,7.43,0,FALSE
7.23,4.51,0.63,6.65,50,TRUE
6.19,3.28,0.53,7.28,25,TRUE
6.68,2.04,0.74,6.76,25,TRUE
7.31,1.91,0.87,7.55,0,TRUE
6.81,2.14,0.9,7.59,25,TRUE
6.79,4.12,0.58,7.73,25,TRUE
7.58,1.77,0.64,7.23,50,TRUE
6.99,4.81,0.51,7.24,50,TRUE
7.82,4.96,0.87,8.0,0,TRUE
7.99,3.5,0.7,7.29,0,TRUE
8.91,1.42,0.53,6.9,50,TRUE
7.35,2.18,0.52,7.88,50,TRUE
6.55,2.55,16.38,6.84,50,FALSE
7.48,2.71,0.99,7.16,25,TRUE
7.97,4.54,0.96,7.81,50,TRUE
8.0,1.03,0.9,6.58,25,TRUE
6.75,1.46,0.75,7.06,25,TRUE
7.73,3.78,0.92,7.92,50,TRUE
7.14,3.26,0.55,6.71,50,TRUE
8.07,3.03,0.68,7.93,25,TRUE
7.96,1.49,0.57,7.39,50,TRUE
8.71,3.56,0.94,7.66,50,TRUE
8.31,4.65,0.52,6.91,50,TRUE
7.54,4.2,0.72,6.7,50,TRUE
8.08,2.4,0.59,7.78,0,TRUE
7.89,4.95,5.72,6.91,0,FALSE
7.03,2.14,0.82,7.1,50,TRUE
8.23,3.81,0.99,7.48,0,TRUE
6.79,4.19,0.59,7.82,0,TRUE
8.7,1.23,0.62,6.81,50,TRUE
7.88,2.85,0.75,7.19,50,TRUE
6.2,3.31,0.68,6.77,25,TRUE
8.14,3.13,0.91,7.09,50,TRUE
8.18,2.21,0.78,7.57,0,TRUE
6.83,1.24,0.69,6.86,0,TRUE
6.22,4.11,0.53,6.84,25,TRUE
7.01,4.16,0.75,7.92,50,TRUE
8.75,4.53,0.59,7.79,50,TRUE
9.53,2.33,0.52,7.77,25,FALSE
7.97,1.85,0.81,7.08,50,TRUE
7.92,1.57,0.74,7.69,0,TRUE
7.23,1.55,0.78,6.92,0,TRUE
7.66,4.44,0.85,7.95,0,TRUE
7.81,1.2,0.67,7.2,25,TRUE
7.37,2.72,0.61,7.59,25,TRUE
8.59,3.96,0.86,6.82,50,TRUE
7.38,3.99,0.7,7.59,0,TRUE
7.38,4.49,0.66,7.84,0,TRUE
8.15,3.56,0.8,7.4,0,TRUE
7.51,2.41,0.68,6.57,0,TRUE
6.44,2.26,0.96,7.74,25,TRUE
10.31,2.72,0.97,7.43,0,FALSE
7.19,1.21,0.62,7.03,0,TRUE
7.16,2.46,0.55,7.91,50,TRUE
6.11,4.73,0.93,7.75,25,TRUE
7.75,1.38,0.89,7.18,25,TRUE
7.64,3.76,0.63,7.4,50,TRUE
6.6,2.54,0.53,7.04,25,TRUE
6.99,1.19,0.9,7.2,0,TRUE
6.52,1.53,0.65,6.92,25,TRUE
8.8,4.84,0.53,7.18,50,TRUE
8.44,3.66,0.97,7.62,0,TRUE
8.21,1.45,0.67,8.0,0,TRUE
8.34,4.72,0.78,7.84,50,TRUE
6.95,1.68,0.94,6.62,0,FALSE
8.15,4.52,0.52,7.99,50,TRUE
6.51,3.89,0.75,7.12,25,TRUE
7.12,3.16,0.84,6.67,50,TRUE
8.02,3.6,0.71,7.84,25,TRUE
7.39,3.21,0.76,7.05,25,TRUE
8.25,3.9,0.75,6.63,0,TRUE
8.45,4.45,0.9,6.79,50,TRUE
8.35,1.83,0.99,7.7,50,TRUE
7.13,2.38,0.97,7.25,25,TRUE
6.39,1.65,0.8,7.47,25,TRUE
7.96,3.12,0.77,7.2,25,TRUE
8.02,1.52,0.73,6.94,25,TRUE
7.88,4.92,0.91,19.1,0,FALSE
7.51,1.75,0.5,7.42,0,TRUE
6.14,4.48,0.68,7.53,25,TRUE
8.08,3.82,0.59,7.19,50,TRUE
8.43,4.64,0.55,7.69,50,TRUE
7.46,1.34,0.87,7.75,25,TRUE
6.71,2.06,0.51,7.41,0,TRUE
7.3,2.95,0.91,7.97,50,TRUE
6.6,1.53,0.73,7.89,25,TRUE
6.42,1.02,0.69,7.64,25,TRUE
7.74,3.21,0.66,7.59,50,TRUE
7.7,3.69,0.58,7.46,50,TRUE
6.67,3.44,0.66,6.55,0,TRUE
7.42,9.99,0.75,7.08,0,FALSE
7.07,1.75,0.85,7.19,25,TRUE
8.39,4.54,0.89,7.07,0,TRUE
7.63,2.69,0.97,7.85,25,TRUE
7.23,1.38,0.62,7.58,0,TRUE
7.03,2.46,0.63,6.92,50,TRUE
7.4,1.42,0.99,7.07,0,TRUE
7.73,2.91,0.93,6.63,25,TRUE
8.73,2.23,0.98,7.35,50,TRUE
7.84,4.68,0.85,6.67,25,TRUE
7.86,1.62,0.76,6.88,25,TRUE
7.87,2.47,0.54,6.76,50,TRUE
8.05,4.28,0.96,7.28,50,TRUE
7.17,4.16,5.66,7.91,25,FALSE
7.15,4.46,0.64,7.01,25,TRUE
8.06,2.33,0.86,7.03,0,TRUE
7.37,2.46,0.67,7.0,50,TRUE
7.06,2.66,0.66,7.48,0,TRUE
7.84,4.63,0.77,7.08,25,TRUE
7.94,4.36,0.8,6.66,0,TRUE
7.38,4.72,0.61,7.95,0,TRUE
7.87,1.54,0.98,6.6,50,TRUE
7.41,1.66,0.96,6.57,25,TRUE
8.28,2.57,0.86,7.61,50,TRUE
6.8,2.86,0.58,7.75,0,TRUE
8.23,1.98,0.82,7.01,0,TRUE
7.96,3.54,0.87,11.42,25,FALSE
6.64,1.58,0.96,6.63,25,TRUE
7.28,3.39,0.52,6.67,50,TRUE
8.88,4.84,0.63,7.51,50,TRUE
7.98,2.59,0.57,7.79,0,TRUE
6.76,4.12,0.58,6.92,25,TRUE
7.39,4.92,0.82,7.71,25,TRUE
8.68,1.79,0.83,6.81,50,TRUE
6.73,3.94,0.89,6.71,25,TRUE
7.61,1.19,0.71,7.47,0,TRUE
8.91,2.66,0.98,7.6,50,TRUE
7.18,4.37,0.63,6.75,25,TRUE
7.31,2.31,0.71,6.82,25,TRUE
7.87,3.54,0.74,10.3,25,FALSE
8.19,1.44,0.56,7.51,0,TRUE
7.4,2.77,0.51,6.52,50,TRUE
6.15,4.26,0.74,7.8,25,TRUE
7.95,2.05,0.76,6.89,50,TRUE
8.43,4.7,0.6,6.56,50,TRUE
7.17,3.2,0.53,7.6,50,TRUE
7.32,2.98,0.58,7.86,25,TRUE
8.35,1.37,0.62,7.46,50,TRUE
7.42,3.56,0.65,7.21,0,TRUE
8.41,2.83,0.86,7.11,0,TRUE
7.28,2.12,0.83,7.29,0,TRUE
7.89,3.54,0.59,6.63,25,TRUE
7.07,3.95,0.9,9.73,0,FALSE
7.7,3.08,0.76,6.95,25,TRUE
7.73,2.63,0.91,6.99,50,TRUE
7.43,1.15,0.95,6.8,0,TRUE
7.84,3.63,0.53,6.52,50,TRUE
8.08,2.8,0.66,7.94,0,TRUE
7.58,1.99,0.65,7.91,50,TRUE
8.87,1.89,0.81,7.55,50,TRUE
7.41,4.72,0.97,7.41,25,TRUE
7.19,3.12,0.76,6.84,25,TRUE
6.51,3.33,0.56,6.94,25,TRUE
6.65,4.4,0.98,6.73,25,TRUE
7.93,4.77,0.63,6.91,25,TRUE
7.22,3.99,7.76,7.15,50,FALSE
7.33,1.77,0.69,7.08,50,TRUE
7.97,1.17,0.92,6.87,0,TRUE
7.47,1.37,0.61,6.76,50,TRUE
6.83,2.0,0.71,6.99,25,TRUE
6.85,2.89,0.57,7.14,25,TRUE
8.94,1.93,0.61,7.89,50,TRUE
8.76,1.2,0.6,7.67,50,TRUE
8.1,3.09,0.68,7.08,50,TRUE
7.01,1.85,0.53,7.39,50,TRUE
7.46,1.62,0.65,7.51,50,TRUE
8.88,4.41,0.75,7.56,50,TRUE
6.64,1.88,0.61,7.31,0,TRUE
6.72,1.82,0.99,13.02,0,FALSE
8.19,2.83,0.75,7.37,50,TRUE
7.89,3.76,0.83,6.94,25,TRUE
7.93,2.66,0.79,6.99,25,TRUE
6.29,1.25,0.62,7.06,25,TRUE
8.09,2.34,0.92,7.22,25,TRUE
6.35,4.75,0.58,7.61,25,TRUE
7.11,1.42,0.52,7.6,50,TRUE
8.11,4.42,0.81,7.75,50,TRUE
7.38,3.13,0.52,7.99,50,TRUE
7.08,2.96,0.54,7.09,25,TRUE
7.77,4.68,0.99,6.83,0,TRUE
8.63,4.13,0.6,7.94,50,TRUE
13.93,2.13,0.64,7.27,25,FALSE
8.54,3.07,0.81,7.68,50,TRUE
8.88,3.47,0.84,7.31,50,TRUE
6.78,2.4,0.66,7.15,0,TRUE
8.29,1.33,0.9,7.46,0,TRUE
8.96,1.57,0.56,7.28,50,TRUE
7.76,2.13,0.86,7.07,50,TRUE
6.99,2.61,0.63,7.6,0,TRUE
7.75,3.57,0.68,7.72,0,TRUE
6.65,1.22,0.88,7.41,0,TRUE
6.52,2.43,0.96,6.66,0,TRUE
6.65,1.14,0.72,7.87,25,TRUE
8.9,2.54,0.97,7.49,50,TRUE
6.69,17.47,0.55,7.22,50,FALSE
8.31,1.37,0.94,7.04,50,TRUE
8.22,1.22,0.57,7.76,50,TRUE
8.05,2.25,0.99,7.45,25,TRUE
7.44,4.56,0.7,7.61,0,TRUE
7.89,3.44,0.92,7.2,50,TRUE
7.55,4.45,0.95,7.79,0,TRUE
8.06,1.57,0.94,6.92,0,TRUE
7.92,2.46,0.98,7.73,50,TRUE
8.72,2.63,0.99,7.63,50,TRUE
6.94,4.55,0.82,7.66,25,TRUE
7.53,3.04,0.91,7.71,0,TRUE
6.63,2.79,0.69,7.98,25,TRUE
7.39,2.94,11.14,7.59,50,FALSE
8.07,1.94,0.54,7.08,50,TRUE
6.81,1.9,0.64,7.63,0,TRUE
6.6,2.98,0.95,7.16,0,TRUE
7.96,3.13,0.59,7.53,0,TRUE
7.96,2.35,0.88,6.92,25,TRUE
7.48,4.37,0.64,6.86,25,TRUE
8.12,1.16,0.81,7.95,50,TRUE
7.49,3.36,0.96,6.61,50,TRUE
7.27,2.7,0.98,7.24,25,TRUE
8.5,4.55,0.97,6.58,0,TRUE
6.99,2.4,0.95,7.22,0,TRUE
7.43,1.29,0.89,6.69,0,TRUE
7.82,1.84,3.04,6.98,50,FALSE
8.97,4.01,0.98,7.75,50,TRUE
8.05,4.71,0.54,7.44,0,TRUE
6.73,2.35,0.68,6.86,0,TRUE
7.1,2.81,0.88,6.51,50,TRUE
6.93,2.49,0.74,7.51,0,TRUE
8.22,1.11,0.52,6.69,50,TRUE
7.21,2.1,0.7,7.4,50,TRUE
7.13,1.27,0.67,7.5,25,TRUE
6.69,2.26,0.63,7.57,25,TRUE
7.56,3.48,0.57,7.66,0,TRUE
7.44,4.05,0.99,7.53,0,TRUE
8.0,2.86,0.8,7.9,0,TRUE
7.6,2.62,0.62,6.87,25,FALSE
8.86,2.5,0.6,7.61,50,TRUE
7.38,2.74,0.97,7.9,50,TRUE
8.48,2.9,1.0,7.17,50,TRUE
7.82,1.34,0.8,7.8,25,TRUE
7.09,4.4,0.55,7.16,0,TRUE
8.18,3.13,0.8,7.25,0,TRUE
8.09,2.85,0.83,7.21,25,TRUE
8.11,2.94,0.53,7.33,0,TRUE
8.37,4.53,0.87,6.72,0,TRUE
7.2,3.46,0.6,6.74,50,TRUE
7.63,2.95,0.83,7.67,0,TRUE
8.2,2.88,1.0,7.02,50,TRUE
6.84,11.6,0.59,7.04,25,FALSE
6.94,2.26,0.8,7.48,0,TRUE
7.99,4.6,0.76,7.1,50,TRUE
7.25,3.22,0.91,7.7,50,TRUE
8.51,2.07,0.61,7.6,50,TRUE
8.66,4.67,0.58,6.9,50,TRUE
7.86,3.86,0.7,6.72,0,TRUE
6.65,1.44,0.7,7.22,0,TRUE
7.3,1.79,0.69,7.96,0,TRUE
8.7,2.76,0.63,7.03,50,TRUE
7.8,1.5,0.72,7.63,50,TRUE
7.02,1.5,0.54,7.16,0,TRUE
7.89,3.53,0.8,6.85,0,TRUE
7.14,18.64,0.62,7.02,25,FALSE
6.94,2.95,0.76,6.98,25,TRUE
6.6,2.58,0.86,7.71,25,TRUE
8.46,2.19,0.85,6.72,50,TRUE
6.64,2.35,0.84,7.32,0,TRUE
6.96,1.54,0.65,7.79,0,TRUE
8.74,1.09,0.95,7.21,50,TRUE
8.21,1.99,0.95,6.63,50,TRUE
8.21,4.8,0.65,6.74,50,TRUE
8.41,3.52,0.67,7.12,50,TRUE
8.52,2.23,0.89,7.55,50,TRUE
7.64,3.6,0.77,6.63,0,TRUE
7.57,2.31,0.87,7.04,25,TRUE
6.6,3.36,0.63,7.79,50,FALSE
7.1,3.58,0.58,7.47,25,TRUE
8.4,1.58,0.67,7.41,50,TRUE
8.69,4.78,0.94,7.93,50,TRUE
8.26,2.15,0.52,7.41,50,TRUE
7.02,2.06,0.59,7.98,0,TRUE
6.51,3.71,0.67,7.83,0,TRUE
8.2,2.91,0.97,7.5,0,TRUE
8.04,1.49,0.55,7.29,25,TRUE
6.13,2.55,0.89,7.59,25,TRUE
7.56,2.99,0.96,7.35,25,TRUE
8.35,4.12,0.71,7.61,50,TRUE
7.22,1.24,0.52,7.14,0,TRUE
7.28,9.21,0.81,6.7,50,FALSE
7.54,1.58,0.72,6.65,0,TRUE
7.7,3.91,0.7,7.51,0,TRUE
7.05,1.96,0.88,7.4,25,TRUE
7.56,2.12,0.78,7.0,0,TRUE
7.46,4.38,0.79,7.17,25,TRUE
6.43,3.21,0.56,7.08,25,TRUE
8.29,4.81,0.81,7.02,0,TRUE
8.17,3.44,0.6,7.14,50,TRUE
7.54,1.2,0.7,7.99,25,TRUE
7.27,4.76,0.69,7.22,0,TRUE
7.3,4.39,0.82,7.21,0,TRUE
7.33,3.61,0.6,7.51,50,TRUE
7.78,2.6,0.63,16.04,0,FALSE
7.1,3.25,0.82,7.39,0,TRUE
7.11,4.96,0.85,7.11,0,TRUE
8.26,3.35,0.59,6.94,50,TRUE
7.04,1.66,0.61,7.42,50,TRUE
8.15,1.22,0.76,7.88,0,TRUE
6.35,4.96,0.73,6.89,25,TRUE
8.15,1.21,0.51,7.76,50,TRUE
6.82,3.38,0.55,6.79,0,TRUE
7.83,3.21,0.54,7.02,50,TRUE
7.77,2.27,0.82,6.74,0,TRUE
7.76,1.33,0.94,7.08,50,TRUE
7.64,4.91,0.65,7.67,0,TRUE
6.8,3.97,0.91,12.27,25,FALSE
6.26,1.91,0.52,7.02,25,TRUE
8.03,3.14,0.52,6.79,0,TRUE
7.31,2.49,0.97,7.53,50,TRUE
7.64,2.88,0.6,7.29,0,TRUE
6.73,2.45,0.52,6.91,25,TRUE
7.49,4.78,0.86,6.68,0,TRUE
7.81,2.74,0.99,6.99,50,TRUE
7.25,4.27,0.56,7.54,25,TRUE
8.22,4.95,0.78,6.8,50,TRUE
7.48,2.43,0.71,6.52,25,TRUE
7.92,2.12,0.95,7.57,50,TRUE
6.47,1.6,0.97,7.23,25,TRUE
6.73,18.58,0.99,6.93,0,FALSE
8.25,4.7,0.79,6.58,0,TRUE
7.61,1.78,0.85,6.55,25,TRUE
6.35,2.44,0.91,7.32,25,TRUE
8.02,3.29,0.9,7.24,0,TRUE
8.0,1.46,0.57,7.24,25,TRUE
7.43,1.34,0.87,6.92,50,TRUE
8.18,1.96,0.58,6.7,0,TRUE
8.51,4.08,0.86,6.72,50,TRUE
8.37,3.57,0.6,6.99,50,TRUE
8.8,2.52,0.65,7.78,50,TRUE
6.83,1.14,0.7,7.72,0,TRUE
6.62,3.53,0.76,6.91,25,TRUE
7.98,3.6,0.99,7.78,50,FALSE
6.59,4.43,0.75,7.67,25,TRUE
8.34,1.09,0.57,7.69,0,TRUE
7.33,4.61,0.71,7.3,25,TRUE
8.18,4.64,0.85,7.05,50,TRUE
7.39,2.21,0.73,7.63,50,TRUE
7.73,1.78,0.73,7.08,50,TRUE
8.65,4.77,0.66,7.59,50,TRUE
7.64,2.51,0.92,7.81,50,TRUE
7.42,3.46,0.89,7.39,25,TRUE
6.49,4.05,0.75,7.54,25,TRUE
8.08,1.84,0.65,6.71,25,TRUE
7.16,2.13,0.83,6.67,25,TRUE
13.93,4.98,0.61,6.5,0,FALSE
7.47,2.55,0.64,7.09,0,TRUE
7.88,2.79,0.61,7.73,50,TRUE
7.08,1.12,0.58,6.89,50,TRUE
6.55,1.62,0.56,7.76,25,TRUE
8.17,4.33,0.59,7.14,50,TRUE
6.84,1.89,0.81,7.85,0,TRUE
8.24,3.15,0.73,6.65,50,TRUE
8.38,4.84,0.84,7.24,0,TRUE
6.62,4.74,0.72,7.7,25,TRUE
6.51,4.21,0.55,7.0,25,TRUE
6.64,3.76,0.55,7.99,25,TRUE
7.1,1.4,0.63,6.73,0,TRUE
12.2,4.84,0.85,7.79,0,FALSE
7.22,4.46,0.5,6.71,50,TRUE
7.4,4.33,0.8,7.63,0,TRUE
8.41,4.89,0.95,7.04,50,TRUE
8.41,2.97,0.87,7.11,0,TRUE
7.42,4.51,1.0,7.93,50,TRUE
7.91,1.42,0.72,7.19,0,TRUE
7.9,1.38,0.5,7.41,0,TRUE
8.27,1.06,0.63,7.12,0,TRUE
7.71,1.02,0.65,7.02,25,TRUE
7.39,3.66,0.94,6.57,25,TRUE
8.01,3.86,0.8,7.87,0,TRUE
8.83,3.17,0.66,7.31,50,TRUE
7.73,1.4,0.55,6.59,0,FALSE
6.42,3.73,0.98,7.27,25,TRUE
8.8,1.17,0.96,6.8,50,TRUE
